N,m,seed,connected,W,L_exact,L_cert,L_psd,dmin_est,s_star,frac_weyl,frac_floor,frac_floor_poly,weyl0_frac_pos,psd_frac_pos,solves_hybrid,weylA_oracle_calls,solves_uniform,uniform_solves,target_certified_frac,positive_certified_frac,uncertified_frac,num_windows,total_window_width,uniform_target_frac,uniform_positive_frac,uniform_uncert_frac,matvecs,validated,wall,t_weylA,wall_validation,N_heuristic
10,26,19,True,26.45567810255236,21.599956568902236,37.455678102552355,26.45567810255236,0.04621754445668724,0.6666337091661291,0.03482587064676617,0.18407960199004975,0.13432835820895522,0.03482587064676617,0.18407960199004975,389,389,301,301,0.0,1.0,0.0,0,0.0,0.5422885572139303,0.9203980099502488,0.07960199004975124,80023,False,13.02894377708435,13.02894377708435,0.0,0.0
12,38,0,True,41.574414848301636,35.637189569873556,54.574414848301636,41.574414848301636,0.0824439684630125,0.5025125632610975,0.029850746268656716,0.17412935323383086,0.08955223880597014,0.029850746268656716,0.17412935323383086,437,437,438,438,0.0023360725049453857,1.0,0.0,0,0.0,0.6169154228855721,0.9751243781094527,0.024875621890547265,109889,False,122.75777411460876,122.75777411460876,0.0,0.0
12,37,1,True,38.269825300979,32.414032855193874,51.269825300979,38.269825300979,0.05891946108396695,0.7340617689982524,0.024875621890547265,0.11442786069651742,0.0945273631840796,0.024875621890547265,0.11442786069651742,682,682,412,412,0.0,1.0,0.0,0,0.0,0.40298507462686567,0.8955223880597015,0.1044776119402985,149809,False,162.73013997077942,162.73013997077942,0.0,0.0
12,41,2,True,40.79746118261441,34.88300670005434,53.79746118261441,40.79746118261441,0.08128309751284313,0.6121390284336761,0.024875621890547265,0.12437810945273632,0.08955223880597014,0.024875621890547265,0.12437810945273632,536,536,432,432,0.0,1.0,0.0,0,0.0,0.43283582089552236,0.9701492537313433,0.029850746268656716,153780,False,171.25320410728455,171.25320410728455,0.0,0.0
12,40,3,True,41.24841499230673,35.33071034372948,54.24841499230673,41.24841499230673,0.06550181136714528,0.9954486760392623,0.024875621890547265,0.09950248756218906,0.08955223880597014,0.024875621890547265,0.09950248756218906,543,543,435,435,0.0,1.0,0.0,0,0.0,0.43781094527363185,0.9651741293532339,0.03482587064676617,148879,False,159.54810976982117,159.54810976982117,0.0,0.0
12,37,4,True,38.25443801848,32.34338173195096,51.25443801848,38.25443801848,0.26181811251320664,0.5274183349536519,0.029850746268656716,0.20398009950248755,0.0945273631840796,0.029850746268656716,0.20398009950248755,228,228,412,412,0.003877893577412639,1.0,0.0,0,0.0,0.835820895522388,1.0,0.0,67525,False,75.25854730606079,75.25854730606079,0.0,0.0
12,42,5,True,44.49354469533006,38.51254717418837,57.49354469533006,44.49354469533006,0.025681574176728006,0.999370190724493,0.024875621890547265,0.08955223880597014,0.0845771144278607,0.024875621890547265,0.08955223880597014,586,586,461,461,0.0,1.0,0.0,0,0.0,0.5920398009950248,0.945273631840796,0.05472636815920398,128262,False,133.32845187187195,133.32845187187195,0.0,0.0
12,36,6,True,36.9357063405543,31.054312033125512,49.9357063405543,36.9357063405543,0.1958773524387265,0.9585435774866553,0.029850746268656716,0.12935323383084577,0.09950248756218906,0.029850746268656716,0.12935323383084577,290,290,401,401,0.0,1.0,0.0,0,0.0,0.8009950248756219,1.0,0.0,76479,False,81.5506649017334,81.5506649017334,0.0,0.0
12,36,7,True,35.94758852353815,30.081608601351427,48.94758852353815,35.94758852353815,0.2198968710977649,0.493073283081506,0.03482587064676617,0.1791044776119403,0.1044776119402985,0.03482587064676617,0.1791044776119403,232,232,393,393,0.0,1.0,0.0,0,0.0,0.8208955223880597,1.0,0.0,84213,False,95.69924354553223,95.69924354553223,0.0,0.0
12,40,8,True,35.97726884367573,30.126751606024214,48.97726884367573,35.97726884367573,0.26725764466340873,0.4605362427963172,0.03980099502487562,0.27860696517412936,0.1044776119402985,0.03980099502487562,0.27860696517412936,165,165,393,393,0.00322411297180647,1.0,0.0,0,0.0,0.9203980099502488,1.0,0.0,70417,False,78.67329716682434,78.67329716682434,0.0,0.0
12,32,9,True,32.33167123604544,26.72372394278224,45.33167123604544,32.33167123604544,0.002978813796526758,0.7474655903649899,0.029850746268656716,0.11940298507462686,0.11442786069651742,0.029850746268656716,0.11940298507462686,4405,4405,364,364,0.0,1.0,0.0,0,0.0,0.38308457711442784,0.6019900497512438,0.39800995024875624,541643,False,481.87612557411194,481.87612557411194,0.0,0.0
